Financial Benchmarks India Pvt Ltd
Reference Rates
Date,Time,Currency Pairs,Rate,Comments
05 Dec 2025,1:00:00 PM,INR / 1 EUR,104.825,
05 Dec 2025,1:00:00 PM,INR / 100 JPY,58.15,
04 Dec 2025,1:00:00 PM,INR / 1 USD,90.1865,
04 Dec 2025,1:00:00 PM,INR / 1 GBP,120.258,
04 Dec 2025,1:00:00 PM,INR / 1 EUR,105.114,
04 Dec 2025,1:00:00 PM,INR / 100 JPY,58.04,
03 Dec 2025,1:00:00 PM,INR / 1 USD,90.2697,
03 Dec 2025,1:00:00 PM,INR / 1 GBP,119.502,
03 Dec 2025,1:00:00 PM,INR / 1 EUR,105.102,
03 Dec 2025,1:00:00 PM,INR / 100 JPY,58.02,
02 Dec 2025,1:00:00 PM,INR / 1 USD,89.8887,
02 Dec 2025,1:00:00 PM,INR / 1 GBP,118.77,
02 Dec 2025,1:00:00 PM,INR / 1 EUR,104.349,
02 Dec 2025,1:00:00 PM,INR / 100 JPY,57.73,
01 Dec 2025,1:00:00 PM,INR / 1 USD,89.7436,
01 Dec 2025,1:00:00 PM,INR / 1 GBP,118.628,
01 Dec 2025,1:00:00 PM,INR / 1 EUR,104.047,
01 Dec 2025,1:00:00 PM,INR / 100 JPY,57.65,
28 Nov 2025,1:00:00 PM,INR / 1 USD,89.4557,
28 Nov 2025,1:00:00 PM,INR / 1 GBP,118.27,
28 Nov 2025,1:00:00 PM,INR / 1 EUR,103.631,
28 Nov 2025,1:00:00 PM,INR / 100 JPY,57.2,
27 Nov 2025,1:00:00 PM,INR / 1 USD,89.2942,
27 Nov 2025,1:00:00 PM,INR / 1 GBP,118.416,
27 Nov 2025,1:00:00 PM,INR / 1 EUR,103.612,
27 Nov 2025,1:00:00 PM,INR / 100 JPY,57.24,
26 Nov 2025,1:00:00 PM,INR / 1 USD,89.2649,
26 Nov 2025,1:00:00 PM,INR / 1 GBP,117.776,
26 Nov 2025,1:00:00 PM,INR / 1 EUR,103.492,
26 Nov 2025,1:00:00 PM,INR / 100 JPY,57.17,
25 Nov 2025,1:00:00 PM,INR / 1 USD,89.2213,
25 Nov 2025,1:00:00 PM,INR / 1 GBP,116.897,
25 Nov 2025,1:00:00 PM,INR / 1 EUR,102.773,
25 Nov 2025,1:00:00 PM,INR / 100 JPY,56.93,
24 Nov 2025,1:00:00 PM,INR / 1 USD,89.1919,
24 Nov 2025,1:00:00 PM,INR / 1 GBP,116.899,
24 Nov 2025,1:00:00 PM,INR / 1 EUR,102.783,
24 Nov 2025,1:00:00 PM,INR / 100 JPY,56.94,
21 Nov 2025,1:00:00 PM,INR / 1 USD,88.6402,
21 Nov 2025,1:00:00 PM,INR / 1 GBP,116.079,
21 Nov 2025,1:00:00 PM,INR / 1 EUR,102.32,
21 Nov 2025,1:00:00 PM,INR / 100 JPY,56.42,
20 Nov 2025,1:00:00 PM,INR / 1 USD,88.6915,
20 Nov 2025,1:00:00 PM,INR / 1 GBP,115.838,
20 Nov 2025,1:00:00 PM,INR / 1 EUR,102.187,
20 Nov 2025,1:00:00 PM,INR / 100 JPY,56.29,
19 Nov 2025,1:00:00 PM,INR / 1 USD,88.4558,
19 Nov 2025,1:00:00 PM,INR / 1 GBP,116.316,
19 Nov 2025,1:00:00 PM,INR / 1 EUR,102.509,
19 Nov 2025,1:00:00 PM,INR / 100 JPY,56.92,
18 Nov 2025,1:00:00 PM,INR / 1 USD,88.6344,
18 Nov 2025,1:00:00 PM,INR / 1 GBP,116.584,
18 Nov 2025,1:00:00 PM,INR / 1 EUR,102.782,
18 Nov 2025,1:00:00 PM,INR / 100 JPY,57.15,
17 Nov 2025,1:00:00 PM,INR / 1 USD,88.63,
17 Nov 2025,1:00:00 PM,INR / 1 GBP,116.445,
17 Nov 2025,1:00:00 PM,INR / 1 EUR,102.793,
17 Nov 2025,1:00:00 PM,INR / 100 JPY,57.26,
14 Nov 2025,1:00:00 PM,INR / 1 USD,88.742,
14 Nov 2025,1:00:00 PM,INR / 1 GBP,116.72,
14 Nov 2025,1:00:00 PM,INR / 1 EUR,103.319,
14 Nov 2025,1:00:00 PM,INR / 100 JPY,57.44,
